0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,2,7,2,2,0,0,0,0,0,0
0,0,0,0,0,0,5,5,5,5,5,0,0,0,0,0,0
0,0,0,0,2,5,0,3,6,3,0,5,2,0,0,0,0
0,0,0,0,2,5,3,6,4,6,3,5,2,0,0,0,0
0,0,0,1,7,5,6,4,4,4,6,5,7,1,0,0,0
0,0,0,0,2,5,3,6,4,6,3,5,2,0,0,0,0
0,0,0,0,2,5,0,3,6,3,0,5,2,0,0,0,0
0,0,0,0,0,0,5,5,5,5,5,0,0,0,0,0,0
0,0,0,0,0,0,2,2,7,2,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
